Formulation,Baseline_Mean,Baseline_SE,ODE_Mean,ODE_SE,SCM_Mean,SCM_SE
MASS_ACTION,0.5252958706667246,0.08515072341335303,0.7185868395454958,0.08137759426547579,0.41067350331522834,0.061650494356796745
MM,0.5252958706667246,0.08515072341335303,0.6168719618832577,0.05603411995818219,0.39017131660840365,0.054821670430643094
HILL,0.5252958706667246,0.08515072341335303,0.7023899835108646,0.061295561075312865,0.3833253510898275,0.053340266304465284
