gt_formulation,candidate_formulation,n_replicates,ode_log2_mean,ode_log2_std,scm_log2_mean,scm_log2_std,baseline_log2_mean,baseline_log2_std,ode_fold_mean,ode_fold_std,scm_fold_mean,scm_fold_std,baseline_fold_mean,baseline_fold_std
mass_action,mass_action,18,0.7202983525642943,0.5392477990816686,0.45353813292072165,0.21519707700743035,1.3008599710525972,0.2492012902860941,1.7778521973899641,0.8249066364341943,1.3842453741323193,0.21544392877545146,2.502953066712605,0.5129576648971691
mass_action,mm,21,1.921465604243333,0.6601018957692131,0.8946664000060106,0.08057372145232883,1.2057101656150953,0.06807390302927697,4.248975066463693,2.4660001245074112,1.8619981348309462,0.10719952592442945,2.3089709583257365,0.11009366281491124
mass_action,hill,17,1.8974656396964265,0.6042030956564715,0.8962689987244014,0.09999876440033052,1.2338671799857865,0.11682713360390812,4.081181582023392,2.0129491965033592,1.865558643691921,0.13398173304797803,2.3595609646469815,0.2044161359343745
mm,mass_action,18,1.4205380643181051,0.3930969041236031,0.7534029224478305,0.12619632731673808,0.3690708577502425,0.02022236744871129,2.7716392499934788,0.7500775040381515,1.6919467510153896,0.15125522580895567,1.291641608481928,0.01833017112455777
mm,mm,21,1.4302649575266155,0.6399086192162001,0.10283609071277923,0.02378741409744038,0.36062870318250795,0.0029523736809973027,3.0014503080491144,1.650487866963893,1.0740211795974355,0.01764996542668049,1.2839878760439745,0.00262724430133041
mm,hill,17,1.568843489911346,0.7341334648734605,0.12628930485785336,0.026850525097027608,0.36168289780966406,0.005939490955537312,3.4087951873725246,2.1314792292307856,1.0916600481803944,0.020214570814320713,1.284934153086179,0.0053072644219851455
hill,mass_action,16,1.256302759304682,0.34237309493603973,0.754874080593392,0.08831659250320077,0.36430849428497414,0.017841846728690516,2.4536249497186047,0.5979284600361705,1.6904563878455638,0.1038015694565001,1.2873579279953775,0.016222600311698684
hill,mm,21,1.437414305516732,0.6223038315199428,0.10286693684128387,0.01970139644696432,0.35975439358670225,0.005661622375173505,2.999566977118461,1.6152406552891228,1.0740008150257399,0.014672954757153996,1.2832168288991799,0.005031343250735346
hill,hill,17,1.5551936982851817,0.7101884104154245,0.10785856630444857,0.023244939253797208,0.360452010398769,0.00816279619350614,3.350495763631727,2.0553599258251998,1.0777592265762863,0.01738042202498188,1.2838474329682958,0.007276200604639661
