TF,N,Baseline_Log2,ODE_Log2,SCM_Log2,Baseline_Fold,ODE_Fold,SCM_Fold
araC,25,0.23285117268310426,1.6345472414141573,0.187838501796826,1.1815791461746568,4.309961767453616,1.1484092859281956
fis,32,0.46933195048333676,1.9297459665737628,0.45066673890358333,1.4833339596771844,5.7848473917134315,1.4794606271038755
galR,27,0.5232236047079944,1.7552480327749378,0.40129755337260714,1.7266597370330163,4.978097037368336,1.484385065820868
ihfA,20,0.4424615698372004,1.4241619748906147,0.35924084887954394,1.37531869704647,3.6171290331087653,1.2939740961850605
ihfB,23,0.5077157393074632,1.4741235522089131,0.32919922732537743,1.4698227440204246,3.5747788689142284,1.2695920943103653
lacI,31,0.8147540586859879,2.0547892636947718,0.6296556246157048,2.5519426153330445,5.271863892536624,1.8159194422471339
malT,32,0.1854265275672457,1.614792756292477,0.15236109390325073,1.1491526370142777,4.066400554392389,1.1191759025766994
