Statistic,Baseline_Log2,ODE_Log2,SCM_Log2,Baseline_Fold,ODE_Fold,SCM_Fold
mean,0.4562350376941758,1.725090344342906,0.3637032142366376,1.5832704251426746,4.607304598876366,1.3858873719876186
median,0.257263761688189,1.6880513655226426,0.22000121853721044,1.195209786169912,3.22225803725794,1.1647345702338137
