tf_knockdown,gene,baseline_log2,true_knockdown_log2,true_fc,ode_pred_log2,scm_pred_log2,ode_fc,scm_fc,ode_abs_error,scm_abs_error,ode_fc_error,scm_fc_error,scm_wins_abs,scm_wins_fc,ode_fold_error,scm_fold_error,baseline_error,baseline_fold_error
ihfA,ampD,7.318273098081171,7.513625385617441,0.1953522875362701,4.990959328618646,7.289158466550287,-2.327313769462525,-0.02911463153088434,2.522666056998795,0.22446691906715444,2.522666056998795,0.22446691906715444,True,True,5.746430416491323,1.168345461002301,0.1953522875362701,1.145003721617294
ihfA,ampE,7.318273098081171,7.513625385617441,0.1953522875362701,4.981151810007294,7.289154499057723,-2.3371212880738774,-0.029118599023448155,2.5324735756101475,0.22447088655971825,2.5324735756101475,0.22447088655971825,True,True,5.785628042877362,1.1683486740224966,0.1953522875362701,1.145003721617294
ihfA,ansB,6.0896361980562865,6.306016973331977,0.21638077527569077,6.059239877045285,6.068269571546794,-0.030396321011001426,-0.021366626509492725,0.2467770962866922,0.2377474017851835,0.2467770962866922,0.2377474017851835,True,True,1.186553454956232,1.17915011945629,0.21638077527569077,1.161815333227875
ihfA,araB,5.849353170893918,6.646055212900813,0.7967020420068947,5.53047985906215,5.990224441439519,-0.31887331183176837,0.14087127054560078,1.115575353838663,0.6558307714612939,1.115575353838663,0.6558307714612939,True,True,2.1668140548070607,1.5755229519687155,0.7967020420068947,1.7371255668914172
ihfA,araA,5.849353170893918,6.646055212900813,0.7967020420068947,6.36440493050182,5.990166158961269,0.5150517596079016,0.14081298806735099,0.28165028239899303,0.6558890539395437,0.28165028239899303,0.6558890539395437,False,False,1.2155845827502731,1.5755866017591416,0.7967020420068947,1.7371255668914172
ihfA,araD,5.849353170893918,6.646055212900813,0.7967020420068947,5.931116563457297,5.988554350490002,0.08176339256337872,0.1392011795960837,0.7149386494435159,0.657500862410811,0.7149386494435159,0.657500862410811,True,True,1.6414134150883901,1.5773478630815803,0.7967020420068947,1.7371255668914172
ihfA,araC,7.813416221392927,7.364554377597492,-0.44886184379543526,6.04343006401921,7.656163608425456,-1.769986157373717,-0.15725261296747117,1.3211243135782818,0.2916092308279641,1.3211243135782818,0.2916092308279641,True,True,2.4986075410619937,1.2240048128796948,0.44886184379543526,1.364962999242866
ihfA,araE,6.5546330888034445,6.302940832973842,-0.2516922558296022,4.451489610163545,6.570046396032691,-2.1031434786398995,0.015413307229246165,1.8514512228102973,0.26710556305884836,1.8514512228102973,0.26710556305884836,True,True,3.6086299859420308,1.203391075789577,0.2516922558296022,1.190602852395164
ihfA,argG,7.8772495773841005,7.334264591539117,-0.5429849858449831,5.5108154330641685,7.686801766009796,-2.366434144319932,-0.19044781137430444,1.8234491584749488,0.35253717447067867,1.8234491584749488,0.35253717447067867,True,True,3.539263459081407,1.2768040868052342,0.5429849858449831,1.456983950959132
ihfA,crp,9.30339216324764,9.369876577501593,0.0664844142539529,6.371133002735304,9.343992550557953,-2.932259160512336,0.040600387310313124,2.998743574766289,0.025884026943639782,2.998743574766289,0.025884026943639782,True,True,7.993035932033753,1.0181033548145497,0.0664844142539529,1.047161828871042
ihfA,fis,9.153018355947912,8.512972035781594,-0.6400463201663182,6.123559364772803,8.971700530744268,-3.029458991175109,-0.18131782520364403,2.389412671008791,0.4587284949626742,2.389412671008791,0.4587284949626742,True,True,5.239440176626965,1.3743300320089122,0.6400463201663182,1.558379192919625
ihfA,Fis,9.153018355947912,8.512972035781594,-0.6400463201663182,5.513467585898237,8.971808543861961,-3.6395507700496754,-0.18120981208595133,2.999504449883357,0.4588365080803669,2.999504449883357,0.4588365080803669,True,True,7.997252558555782,1.3744329305594831,0.6400463201663182,1.558379192919625
ihfA,lacZ,7.170453053707159,6.84257468430627,-0.32787836940088866,6.56566563487964,7.023107089297759,-0.6047874188275193,-0.14734596440939995,0.27690904942663064,0.1805324049914887,0.27690904942663064,0.1805324049914887,True,True,1.2115962764083554,1.1333020362731003,0.32787836940088866,1.2551661663895388
ihfA,lacY,7.170453053707159,6.84257468430627,-0.32787836940088866,5.622425238288026,7.023263657151873,-1.5480278154191325,-0.1471893965552855,1.2201494460182438,0.18068897284560315,1.2201494460182438,0.18068897284560315,True,True,2.329708490481798,1.1334250340594856,0.32787836940088866,1.2551661663895388
ihfA,lacA,7.170453053707159,6.84257468430627,-0.32787836940088866,6.344831826711565,7.0231436227158035,-0.8256212269955938,-0.1473094309913554,0.49774285759470516,0.18056893840953325,0.49774285759470516,0.18056893840953325,True,True,1.4120027100747734,1.1333307352844109,0.32787836940088866,1.2551661663895388
ihfA,malE,6.377822181505683,6.919772256408251,0.5419500749025685,6.515830949921363,6.428876387805074,0.13800876841568055,0.0510542062993915,0.403941306486888,0.490895868603177,0.403941306486888,0.490895868603177,False,False,1.3231176100977198,1.405317263016763,0.5419500749025685,1.4559391647111357
ihfA,malF,6.377822181505683,6.919772256408251,0.5419500749025685,6.850018053026256,6.437441880045243,0.4721958715205732,0.05961969853956006,0.06975420338199534,0.48233037636300846,0.06975420338199534,0.48233037636300846,False,False,1.0495378552324133,1.3969984076997652,0.5419500749025685,1.4559391647111357
ihfA,malG,6.377822181505683,6.919772256408251,0.5419500749025685,6.150775325465255,6.432372536726338,-0.2270468560404275,0.05455035522065543,0.768996930942996,0.4873997196819131,0.768996930942996,0.4873997196819131,True,True,1.7040845650327916,1.4019158164804537,0.5419500749025685,1.4559391647111357
