tf_knockdown,gene,baseline_log2,true_knockdown_log2,true_fc,ode_pred_log2,scm_pred_log2,ode_fc,scm_fc,ode_abs_error,scm_abs_error,ode_fc_error,scm_fc_error,scm_wins_abs,scm_wins_fc,ode_fold_error,scm_fold_error,baseline_error
fis,aldA,8.410132205490216,8.567804277026836,0.15767207153662,4.2344637160464735,8.445765779764477,-4.175668489443742,0.03563357427426084,4.333340560980362,0.12203849726235916,4.333340560980362,0.12203849726235916,True,True,20.15883779027744,1.088271481012151,0.15767207153662
fis,ampD,7.328576647359485,7.490350787244657,0.1617741398851722,4.50709406985421,7.288962586942774,-2.821482577505275,-0.039614060416711006,2.9832567173904474,0.2013882003018832,2.9832567173904474,0.2013882003018832,True,True,7.90769220478301,1.149804195662623,0.1617741398851722
fis,ampE,7.328576647359485,7.490350787244657,0.1617741398851722,5.412902747998286,7.289329036449403,-1.9156738993611988,-0.03924761091008211,2.077448039246371,0.2010217507952543,2.077448039246371,0.2010217507952543,True,True,4.220599802169227,1.1495121785271596,0.1617741398851722
fis,ansB,6.13088011104854,6.2128514548987175,0.0819713438501779,6.198513139741147,6.078705725727998,0.06763302869260723,-0.05217438532054164,0.014338315157570669,0.13414572917071954,0.014338315157570669,0.13414572917071954,False,False,1.0099881142609413,1.0974427866121763,0.0819713438501779
fis,araB,5.990727284157852,6.326706450872568,0.3359791667147167,6.174320236937345,6.003586740865067,0.1835929527794935,0.012859456707215777,0.15238621393522322,0.32311971000750095,0.15238621393522322,0.32311971000750095,False,False,1.1114062157238458,1.2510328823294765,0.3359791667147167
fis,araA,5.990727284157852,6.326706450872568,0.3359791667147167,6.724721117110708,6.002526352256112,0.7339938329528568,0.011799068098260257,0.3980146662381401,0.32418009861645647,0.3980146662381401,0.32418009861645647,True,True,1.3176933471542718,1.251952736229153,0.3359791667147167
fis,araD,5.990727284157852,6.326706450872568,0.3359791667147167,6.1700658017070715,6.003627970829561,0.17933851754921992,0.01290068667170896,0.1566406491654968,0.32307848004300777,0.1566406491654968,0.32307848004300777,False,False,1.1146885341619182,1.2509971302801348,0.3359791667147167
fis,araC,7.551381437653157,7.956462484843477,0.40508104719031923,5.960040652309932,7.671380660677965,-1.5913407853432258,0.11999922302480748,1.996421832533545,0.28508182416551175,1.996421832533545,0.28508182416551175,True,True,3.990091505822696,1.2184793692224314,0.40508104719031923
fis,araE,6.603984515390489,6.191461322184782,-0.41252319320570674,5.9013199334031965,6.5264286530643325,-0.7026645819872925,-0.07755586232615652,0.2901413887815858,0.3349673308795502,0.2901413887815858,0.3349673308795502,False,False,1.2227601062666118,1.2613488458829003,0.41252319320570674
fis,araJ,7.409637758250295,7.616000573499408,0.20636281524911304,5.474027525539289,7.428927115276051,-1.9356102327110056,0.019289357025756182,2.1419730479601187,0.18707345822335686,2.1419730479601187,0.18707345822335686,True,True,4.413652504731223,1.1384519945696558,0.20636281524911304
fis,argG,7.503646066324514,8.178194332223278,0.674548265898764,5.393044248923809,7.673803219208341,-2.1106018174007044,0.17015715288382705,2.7851500832994684,0.504391113014937,2.7851500832994684,0.504391113014937,True,True,6.8930863268996445,1.4185245439774272,0.674548265898764
fis,aspA,6.523024446125136,6.719412654661507,0.19638820853637107,5.658715152968167,6.537548787418371,-0.8643092931569694,0.014524341293234322,1.0606975016933404,0.18186386724313675,1.0606975016933404,0.18186386724313675,True,True,2.085939770012466,1.1343484427252055,0.19638820853637107
fis,dcuB,6.523024446125136,6.719412654661507,0.19638820853637107,4.710417137758542,6.537685058053966,-1.8126073083665943,0.014660611928829503,2.0089955169029654,0.18172759660754156,2.0089955169029654,0.18172759660754156,True,True,4.025018786442885,1.1342413022147524,0.19638820853637107
fis,crp,9.242939066276502,9.506433555528131,0.2634944892516291,4.72967747808924,9.343328505651737,-4.513261588187262,0.1003894393752347,4.7767560774388915,0.1631050498763944,4.7767560774388915,0.1631050498763944,True,True,27.41238743231702,1.1196944162636162,0.2634944892516291
fis,cyaA,9.012022166256498,9.455373381838076,0.4433512155815773,4.03237993228722,9.158810967917567,-4.979642233969279,0.146788801661069,5.422993449550856,0.2965624139205083,5.422993449550856,0.2965624139205083,True,True,42.902608134038715,1.2282143923233897,0.4433512155815773
fis,fis,8.606371874705259,9.7477870455566,1.1414151708513405,5.737945600763252,7.440584387266032,-2.8684262739420063,-1.1657874874392267,4.009841444793347,2.307202658290567,4.009841444793347,2.307202658290567,True,True,16.109518233820214,4.949225093580769,1.1414151708513405
fis,Fis,8.606371874705259,9.7477870455566,1.1414151708513405,6.33438118471632,8.958123636704773,-2.2719906899889386,0.3517517619995143,3.413405860840279,0.7896634088518262,3.413405860840279,0.7896634088518262,True,True,10.654609852983032,1.7286711041400504,1.1414151708513405
fis,galE,7.3599238266152955,8.901582736155953,1.5416589095406579,6.293410878717492,7.756072349861526,-1.0665129478978033,0.3961485232462305,2.608171857438461,1.1455103862944274,2.608171857438461,1.1455103862944274,True,True,6.097305604380213,2.212243799949745,1.5416589095406579
fis,galT,7.3599238266152955,8.901582736155953,1.5416589095406579,6.180860407666581,7.756629486881971,-1.1790634189487141,0.39670566026667586,2.720722328489372,1.144953249273982,2.720722328489372,1.144953249273982,True,True,6.5920278082242785,2.2113896451018253,1.5416589095406579
fis,galK,7.3599238266152955,8.901582736155953,1.5416589095406579,5.452105083318851,7.756667090638524,-1.9078187432964446,0.3967432640232289,3.4494776528371025,1.144915645517429,3.4494776528371025,1.144915645517429,True,True,10.924366024115086,2.2113320061193824,1.5416589095406579
