malK,galM,fis,araB,araF,malE,araH,aceB,araC,galE,araD,ampE,puuC,aspA,araE,cyaA,aldA,ihfA,ascB,malF,aceF,ansB,araA,lacI,lacY,zraS,crp,aceE,malT,ihfB,Fis,lacZ,lacA,aceA,bglB,galK,aceK,dcuB,ampD,araJ,ascF,galT,bglF,modB,agp,argG,galR,malG,araG,aroA,target_gene,intervention_strength,basal
14.845415569999295,59.72455241032814,69.72283582729601,46.22110443876038,93.69005693140964,91.50831486691578,115.38592583398201,26.74946722240676,65.95591040449128,67.05560131013516,61.01603552851335,31.584651841601353,89.43255748561532,14.641268360656351,21.879222164893434,49.514942628895255,49.2271429368799,5.826611499035426,32.075913065166624,115.3615017702734,29.557854754777072,66.68266486819475,82.39043263550138,35.41030657352203,49.26274823475646,69.49395793340959,82.77556140713598,30.97968314623903,40.34806908582173,1.8172946967947552,45.679265701477256,94.7244937771749,81.28018659298995,94.84267199574441,164.88608688065378,48.663513636454546,42.2082690704332,39.361653386677325,31.800097489053183,64.07703384893954,22.47751321329039,90.54073691840834,104.11415652394169,61.7116690236347,39.41475598372616,45.59536917039343,21.5140730043999,71.05061859854732,194.83500727673555,59.56051685256478,malK,0.2,1.0
37.113538924998124,59.72455241032814,69.72283582729604,46.22110443876038,93.69005693140967,91.50831486691577,115.385925833982,26.749467222406754,65.95591040449129,67.05560131013516,61.01603552851335,31.58465184160135,89.43255748561532,14.641268360656351,21.879222164893438,49.51494262889524,49.22714293687989,5.826611499035428,32.075913065166624,115.3615017702734,29.557854754777072,66.68266486819475,82.3904326355014,35.410306573522035,49.26274823475646,69.49395793340959,82.775561407136,30.979683146239033,40.348069085821734,1.817294696794755,45.67926570147726,94.7244937771749,81.28018659298995,94.84267199574438,164.8860868806538,48.66351363645454,42.2082690704332,39.361653386677325,31.80009748905318,64.07703384893954,22.477513213290386,90.54073691840833,104.1141565239417,61.71166902363469,39.41475598372617,45.595369170393425,21.5140730043999,71.05061859854732,194.83500727673558,59.560516852564774,malK,0.5,1.0
59.38166227999695,59.724552410328144,69.72283582729601,46.22110443876037,93.69005693140966,91.50831486691577,115.38592583398201,26.749467222406757,65.95591040449126,67.05560131013515,61.016035528513356,31.584651841601353,89.43255748561532,14.64126836065635,21.879222164893434,49.51494262889524,49.22714293687989,5.826611499035426,32.075913065166624,115.36150177027339,29.557854754777072,66.68266486819475,82.39043263550138,35.41030657352202,49.26274823475645,69.49395793340959,82.77556140713598,30.97968314623903,40.34806908582173,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.8426719957444,164.88608688065375,48.663513636454546,42.20826907043319,39.36165338667732,31.80009748905318,64.07703384893952,22.477513213290383,90.54073691840834,104.11415652394167,61.71166902363469,39.41475598372617,45.595369170393425,21.5140730043999,71.05061859854732,194.83500727673555,59.56051685256478,malK,0.8,1.0
74.22707784999618,11.944910482065685,69.72283582729601,46.22110443876038,93.69005693140967,91.50831486691577,115.38592583398201,26.749467222406754,65.95591040449129,67.05560131013516,61.01603552851335,31.584651841601353,89.4325574856153,14.641268360656351,21.879222164893438,49.51494262889524,49.22714293687989,5.826611499035427,32.07591306516662,115.3615017702734,29.557854754777075,66.68266486819475,82.39043263550138,35.41030657352202,49.26274823475645,69.49395793340958,82.77556140713598,30.97968314623903,40.348069085821734,1.8172946967947552,45.679265701477256,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.2082690704332,39.36165338667732,31.800097489053183,64.07703384893955,22.477513213290386,90.54073691840834,104.11415652394169,61.7116690236347,39.41475598372617,45.595369170393425,21.514073004399897,71.05061859854735,194.83500727673558,59.56051685256479,galM,0.2,1.0
74.22707784999619,29.862276205164108,69.72283582729602,46.22110443876038,93.69005693140967,91.50831486691577,115.385925833982,26.74946722240675,65.95591040449128,67.05560131013516,61.01603552851335,31.58465184160135,89.43255748561532,14.641268360656351,21.879222164893438,49.51494262889524,49.22714293687989,5.826611499035428,32.07591306516663,115.36150177027339,29.557854754777072,66.68266486819475,82.3904326355014,35.410306573522035,49.26274823475646,69.49395793340959,82.775561407136,30.97968314623903,40.348069085821734,1.817294696794755,45.67926570147726,94.7244937771749,81.28018659298995,94.84267199574438,164.88608688065383,48.66351363645454,42.2082690704332,39.361653386677325,31.80009748905318,64.07703384893954,22.477513213290386,90.54073691840833,104.1141565239417,61.71166902363469,39.41475598372617,45.595369170393425,21.5140730043999,71.05061859854732,194.83500727673558,59.560516852564774,galM,0.5,1.0
74.22707784999618,47.779641928262514,69.72283582729601,46.22110443876037,93.69005693140967,91.50831486691577,115.38592583398201,26.749467222406757,65.95591040449126,67.05560131013515,61.016035528513356,31.584651841601353,89.43255748561532,14.64126836065635,21.879222164893434,49.51494262889524,49.22714293687989,5.826611499035426,32.075913065166624,115.36150177027339,29.557854754777072,66.68266486819475,82.39043263550138,35.41030657352202,49.26274823475645,69.49395793340959,82.77556140713598,30.979683146239026,40.34806908582173,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.8426719957444,164.88608688065375,48.663513636454546,42.20826907043319,39.36165338667732,31.80009748905318,64.07703384893952,22.477513213290386,90.54073691840834,104.11415652394167,61.71166902363469,39.41475598372617,45.595369170393425,21.5140730043999,71.0506185985473,194.83500727673555,59.56051685256479,galM,0.8,1.0
74.22705918709259,59.72454057544341,13.914457229222316,46.22107900854968,93.69000109569461,91.4302832239493,115.38585024648626,26.749446196112523,65.9558783164837,67.05555636250074,61.01600399510933,31.58463138288319,89.4324872581699,14.64125812190321,21.879214034087376,49.51490474237747,49.22710752649284,5.826611499035541,32.07589272564376,115.141053026663,29.557835258529742,66.4390927787149,82.39040717169864,35.41028368458125,49.26272192205697,69.49390330801127,82.52640474585183,30.979661937468062,40.34803792066002,1.8172946967947892,45.5355375724029,94.72445236991689,81.28015333309372,94.84259684904583,164.48594489264252,48.66349664604143,42.20823507250643,39.361625423928054,31.800076498252007,64.07700200546061,22.477495169138876,90.540694226559,103.84893489403133,61.7116193934175,39.41472350689249,45.59533063605304,21.51407300440038,70.98786651920747,194.83492085322655,59.560473011704865,fis,0.2,1.0
74.22707552507958,59.72455093600699,34.85200342674765,46.221101270811154,93.69004997571767,91.49855560505604,115.38591641772673,26.749464603071942,65.95590640715214,67.05559571081751,61.01603160026349,31.58464929297197,89.43254873708403,14.641267085171387,21.879221152004522,49.514937909210765,49.22713852565758,5.826611499035517,32.075910531385915,115.33393064916577,29.557852326046767,66.65220173315795,82.39042946336792,35.4103037221495,49.262744956871884,69.49395112849163,82.7443998251098,30.979680504172364,40.34806520344512,1.8172946967947823,45.66128987907025,94.72448861889737,81.28018244966385,94.84266263440084,164.83604184787947,48.66351151988703,42.20826483516698,39.36164990323888,31.80009487413995,64.07702988206238,22.477510965453753,90.54073160010387,104.08098573185066,61.711662840987636,39.41475193794897,45.59536437000686,21.514073004400284,71.04277031756668,194.8349965105929,59.56051139112263,fis,0.5,1.0
74.22707741424648,59.72455213400203,55.775444139019065,46.22110384500489,93.69005562773341,91.506484891092,115.38592406913277,26.74946673147585,65.95590965528666,67.05560026067853,61.01603479225787,31.584651363922436,89.43255584591489,14.641268121597559,21.87922197505186,49.51494174430462,49.227142110103024,5.826611499035414,32.075912590270725,115.35633186157092,29.55785429957034,66.67695267252869,82.39043204096144,35.41030603910123,49.26274762039624,69.49395665799244,82.76971824457698,30.97968265104756,40.348068358164205,1.8172946967947508,45.67589502368569,94.72449281038035,81.28018581642351,94.84267024118714,164.87670284968885,48.66351323975502,42.20826827663507,39.36165273379108,31.800096998950966,64.0770331054443,22.477512791987827,90.54073592162065,104.10793661105511,61.711667864847165,39.414755225443166,45.59536827067718,21.514073004399847,71.04914695392587,194.8350052588822,59.56051582894962,fis,0.8,1.0
74.22707784999618,59.72455241032814,69.722835827296,9.244220887752133,93.69005693140964,91.50831486691578,115.38592583398201,26.749467222406757,65.95591040449126,67.05560131013515,61.01603552851335,31.584651841601353,89.4325574856153,14.64126836065635,21.879222164893438,49.514942628895234,49.2271429368799,5.826611499035427,32.07591306516661,115.36150177027339,29.557854754777072,66.68266486819473,82.39043263550137,35.41030657352202,49.26274823475646,69.4939579334096,82.77556140713597,30.979683146239026,40.34806908582174,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.20826907043319,39.361653386677325,31.800097489053183,64.07703384893952,22.477513213290386,90.54073691840833,104.11415652394169,61.71166902363469,39.41475598372616,45.595369170393425,21.514073004399904,71.0506185985473,194.83500727673555,59.56051685256478,araB,0.2,1.0
74.22707784999618,59.72455241032814,69.722835827296,23.11055221938023,93.69005693140964,91.50831486691578,115.38592583398201,26.749467222406757,65.95591040449126,67.05560131013515,61.01603552851335,31.584651841601353,89.4325574856153,14.64126836065635,21.879222164893438,49.514942628895234,49.2271429368799,5.826611499035427,32.07591306516661,115.36150177027339,29.557854754777072,66.68266486819473,82.39043263550137,35.41030657352202,49.26274823475646,69.4939579334096,82.77556140713597,30.979683146239026,40.34806908582174,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.20826907043319,39.361653386677325,31.800097489053183,64.07703384893952,22.477513213290386,90.54073691840833,104.11415652394169,61.71166902363469,39.41475598372616,45.595369170393425,21.514073004399904,71.0506185985473,194.83500727673555,59.56051685256478,araB,0.5,1.0
74.22707784999618,59.72455241032814,69.722835827296,36.976883551008314,93.69005693140964,91.50831486691578,115.38592583398201,26.749467222406757,65.95591040449126,67.05560131013515,61.01603552851335,31.584651841601353,89.4325574856153,14.64126836065635,21.879222164893438,49.514942628895234,49.2271429368799,5.826611499035427,32.07591306516661,115.36150177027339,29.557854754777072,66.68266486819473,82.39043263550137,35.41030657352202,49.26274823475646,69.4939579334096,82.77556140713597,30.979683146239026,40.34806908582174,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.20826907043319,39.361653386677325,31.800097489053183,64.07703384893952,22.477513213290386,90.54073691840833,104.11415652394169,61.71166902363469,39.41475598372616,45.595369170393425,21.514073004399904,71.0506185985473,194.83500727673555,59.56051685256478,araB,0.8,1.0
74.22707784999618,59.72455241032814,69.722835827296,46.22110443876038,18.73801138628199,91.50831486691578,115.38592583398201,26.749467222406757,65.95591040449126,67.05560131013515,61.01603552851335,31.584651841601353,89.4325574856153,14.64126836065635,21.879222164893438,49.514942628895234,49.2271429368799,5.826611499035427,32.07591306516661,115.36150177027339,29.557854754777072,66.68266486819473,82.39043263550137,35.41030657352202,49.26274823475646,69.4939579334096,82.77556140713597,30.979683146239026,40.34806908582174,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.20826907043319,39.361653386677325,31.800097489053183,64.07703384893952,22.477513213290386,90.54073691840833,104.11415652394169,61.71166902363469,39.41475598372616,45.595369170393425,21.514073004399904,71.0506185985473,194.83500727673555,59.56051685256478,araF,0.2,1.0
74.22707784999618,59.72455241032814,69.722835827296,46.22110443876038,46.845028465704864,91.50831486691578,115.38592583398201,26.749467222406757,65.95591040449126,67.05560131013515,61.01603552851335,31.584651841601353,89.4325574856153,14.64126836065635,21.879222164893438,49.514942628895234,49.2271429368799,5.826611499035427,32.07591306516661,115.36150177027339,29.557854754777072,66.68266486819473,82.39043263550137,35.41030657352202,49.26274823475646,69.4939579334096,82.77556140713597,30.979683146239026,40.34806908582174,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.20826907043319,39.361653386677325,31.800097489053183,64.07703384893952,22.477513213290386,90.54073691840833,104.11415652394169,61.71166902363469,39.41475598372616,45.595369170393425,21.514073004399904,71.0506185985473,194.83500727673555,59.56051685256478,araF,0.5,1.0
74.22707784999618,59.72455241032814,69.722835827296,46.22110443876038,74.95204554512773,91.50831486691578,115.38592583398201,26.749467222406757,65.95591040449126,67.05560131013515,61.01603552851335,31.584651841601353,89.4325574856153,14.64126836065635,21.879222164893438,49.514942628895234,49.2271429368799,5.826611499035427,32.07591306516661,115.36150177027339,29.557854754777072,66.68266486819473,82.39043263550137,35.41030657352202,49.26274823475646,69.4939579334096,82.77556140713597,30.979683146239026,40.34806908582174,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.20826907043319,39.361653386677325,31.800097489053183,64.07703384893952,22.477513213290386,90.54073691840833,104.11415652394169,61.71166902363469,39.41475598372616,45.595369170393425,21.514073004399904,71.0506185985473,194.83500727673555,59.56051685256478,araF,0.8,1.0
74.22707784999618,59.72455241032814,69.722835827296,46.22110443876038,93.69005693140964,18.301662973383213,115.38592583398201,26.749467222406757,65.95591040449126,67.05560131013515,61.01603552851335,31.584651841601353,89.4325574856153,14.64126836065635,21.879222164893438,49.514942628895234,49.2271429368799,5.826611499035427,32.07591306516661,115.36150177027339,29.557854754777072,66.68266486819473,82.39043263550137,35.41030657352202,49.26274823475646,69.4939579334096,82.77556140713597,30.979683146239026,40.34806908582174,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.20826907043319,39.361653386677325,31.800097489053183,64.07703384893952,22.477513213290386,90.54073691840833,104.11415652394169,61.71166902363469,39.41475598372616,45.595369170393425,21.514073004399904,71.0506185985473,194.83500727673555,59.56051685256478,malE,0.2,1.0
74.22707784999618,59.72455241032814,69.722835827296,46.22110443876038,93.69005693140964,45.75415743345793,115.38592583398201,26.749467222406757,65.95591040449126,67.05560131013515,61.01603552851335,31.584651841601353,89.4325574856153,14.64126836065635,21.879222164893438,49.514942628895234,49.2271429368799,5.826611499035427,32.07591306516661,115.36150177027339,29.557854754777072,66.68266486819473,82.39043263550137,35.41030657352202,49.26274823475646,69.4939579334096,82.77556140713597,30.979683146239026,40.34806908582174,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.20826907043319,39.361653386677325,31.800097489053183,64.07703384893952,22.477513213290386,90.54073691840833,104.11415652394169,61.71166902363469,39.41475598372616,45.595369170393425,21.514073004399904,71.0506185985473,194.83500727673555,59.56051685256478,malE,0.5,1.0
74.22707784999618,59.72455241032814,69.722835827296,46.22110443876038,93.69005693140964,73.20665189353264,115.38592583398201,26.749467222406757,65.95591040449126,67.05560131013515,61.01603552851335,31.584651841601353,89.4325574856153,14.64126836065635,21.879222164893438,49.514942628895234,49.2271429368799,5.826611499035427,32.07591306516661,115.36150177027339,29.557854754777072,66.68266486819473,82.39043263550137,35.41030657352202,49.26274823475646,69.4939579334096,82.77556140713597,30.979683146239026,40.34806908582174,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.20826907043319,39.361653386677325,31.800097489053183,64.07703384893952,22.477513213290386,90.54073691840833,104.11415652394169,61.71166902363469,39.41475598372616,45.595369170393425,21.514073004399904,71.0506185985473,194.83500727673555,59.56051685256478,malE,0.8,1.0
