tf_knockdown,gene,baseline_log2,true_knockdown_log2,true_fc,ode_pred_log2,scm_pred_log2,ode_fc,scm_fc,ode_abs_error,scm_abs_error,ode_fc_error,scm_fc_error,scm_wins_abs,scm_wins_fc,ode_fold_error,scm_fold_error,baseline_error,baseline_fold_error
fis,aldA,8.410132205490216,8.567804277026836,0.15767207153662,5.621382005249394,8.437240645994812,-2.7887502002408215,0.027108440504596487,2.9464222717774415,0.1305636310320235,2.9464222717774415,0.1305636310320235,True,True,7.708351029306517,1.0947213026370182,0.15767207153662,1.115485740596861
fis,ampD,7.328576647359485,7.490350787244657,0.1617741398851722,4.99095920998623,7.289158466550287,-2.337617437373255,-0.03941818080919823,2.499391577258427,0.20119232069437043,2.499391577258427,0.20119232069437043,True,True,5.654469107078228,1.1496480934378197,0.1617741398851722,1.1186619559847508
fis,ampE,7.328576647359485,7.490350787244657,0.1617741398851722,4.981151693593314,7.289154499057723,-2.347424953766171,-0.03942214830176205,2.5091990936513433,0.20119628818693425,2.5091990936513433,0.20119628818693425,True,True,5.69303943702239,1.1496512550391313,0.1617741398851722,1.1186619559847508
fis,ansB,6.13088011104854,6.2128514548987175,0.0819713438501779,6.058580649416785,6.067617410708216,-0.07229946163175427,-0.06326270034032344,0.15427080548193217,0.14523404419050134,0.15427080548193217,0.14523404419050134,True,True,1.112858993579249,1.105910047316108,0.0819713438501779,1.058463370483072
fis,araB,5.990727284157852,6.326706450872568,0.3359791667147167,5.530479760181244,5.990391214637046,-0.46024752397660773,-0.0003360695208058928,0.7962266906913245,0.3363152362355226,0.7962266906913245,0.3363152362355226,True,True,1.7365532984089065,1.262527870763522,0.3359791667147167,1.2622338046516546
fis,araA,5.990727284157852,6.326706450872568,0.3359791667147167,6.364404874956278,5.990332932158789,0.373677590798426,-0.00039435199906279195,0.03769842408370927,0.3363735187137795,0.03769842408370927,0.3363735187137795,False,False,1.0264749525644594,1.2625788758182503,0.3359791667147167,1.2622338046516546
fis,araD,5.990727284157852,6.326706450872568,0.3359791667147167,5.931116470575702,5.991249491209468,-0.05961081358214937,0.000522207051615986,0.3955899802968661,0.33545695966310074,0.3955899802968661,0.33545695966310074,True,True,1.3154806070450065,1.2617770011729537,0.3359791667147167,1.2622338046516546
fis,araC,7.551381437653157,7.956462484843477,0.40508104719031923,6.0434299765829005,7.656163608425456,-1.507951461070257,0.10478217077229868,1.9130325082605761,0.30029887641802055,1.9130325082605761,0.30029887641802055,True,True,3.7659987164923523,1.231399490224515,0.40508104719031923,1.324163296663631
fis,araE,6.603984515390489,6.191461322184782,-0.41252319320570674,4.451489543374618,6.570046396032216,-2.1524949720158713,-0.03393811935827262,1.7399717788101645,0.3785850738474341,1.7399717788101645,0.3785850738474341,True,True,3.340286336269768,1.3000661873783717,0.41252319320570674,1.3310116448010976
fis,araJ,7.409637758250295,7.616000573499408,0.20636281524911304,6.00173539446037,7.416740641136833,-1.4079023637899244,0.007102882886538708,1.6142651790390374,0.19925993236257433,1.6142651790390374,0.19925993236257433,True,True,3.061556226773568,1.1481092516544622,0.20636281524911304,1.1537757251360423
fis,argG,7.503646066324514,8.178194332223278,0.674548265898764,5.510815281173873,7.686801766009797,-1.992830785150641,0.18315569968528322,2.667379051049405,0.4913925662134808,2.667379051049405,0.4913925662134808,True,True,6.352740335549322,1.405801175332687,0.674548265898764,1.5960969274353656
fis,aspA,6.523024446125136,6.719412654661507,0.19638820853637107,3.8719686062252205,6.571908812060232,-2.651055839899916,0.04888436593509571,2.847444048436287,0.14750384260127536,2.847444048436287,0.14750384260127536,True,True,7.197241401865129,1.107651349865394,0.19638820853637107,1.1458261818862616
fis,dcuB,6.523024446125136,6.719412654661507,0.19638820853637107,5.29871882623442,6.57167236694423,-1.2243056198907167,0.04864792081909375,1.4206938284270878,0.14774028771727732,1.4206938284270878,0.14774028771727732,True,True,2.677142305271834,1.107832899123634,0.19638820853637107,1.1458261818862616
fis,crp,9.242939066276502,9.506433555528131,0.2634944892516291,6.3705897853552536,9.343992550557953,-2.8723492809212487,0.10105348428145078,3.135843770172878,0.16244100497017833,3.135843770172878,0.16244100497017833,True,True,8.789881830449055,1.1191791609510842,0.2634944892516291,1.2003827476556008
fis,cyaA,9.012022166256498,9.455373381838076,0.4433512155815773,5.6297919541945545,9.15945731711956,-3.382230212061944,0.14743515086306225,3.825581427643521,0.29591606471851506,3.825581427643521,0.29591606471851506,True,True,14.177993097311536,1.2276642569400953,0.4433512155815773,1.3597592269647425
fis,fis,8.606371874705259,9.7477870455566,1.1414151708513405,5.123169726400584,7.269133215761128,-3.4832021483046747,-1.3372386589441305,4.624617319156015,2.478653829795471,4.624617319156015,2.478653829795471,True,True,24.668828829428993,5.573771385111243,1.1414151708513405,2.2059730576085013
fis,Fis,8.606371874705259,9.7477870455566,1.1414151708513405,5.512899741101485,8.971808543861961,-3.0934721336037736,0.36543666915670237,4.234887304455114,0.7759785016946381,4.234887304455114,0.7759785016946381,True,True,18.829036915380467,1.7123510523211434,1.1414151708513405,2.2059730576085013
fis,galE,7.3599238266152955,8.901582736155953,1.5416589095406579,6.067285844764684,7.75599099233168,-1.2926379818506115,0.3960671657163841,2.8342968913912694,1.1455917438242738,2.8342968913912694,1.1455917438242738,True,True,7.131951496408462,2.2123685579622387,1.5416589095406579,2.911290712126987
